Paises,sede,Red_Social,URL
Saudi Arabia,EARAB,Instagram, www.Instagram.com/arginsaudi/ 
Saudi Arabia,EARAB,Twitter, www.Twitter.com/ensaudita 
Singapore,ESING,Instagram, www.Instagram.com/argentine_embassy_singapore?igshid=YmMyMTA2M2Y= 
Singapore,ESING,Twitter,www.Twitter.com/ARGinSingapore 
El Salvador,ESALV,Facebook, www.Facebook.com/ArgentinaEnElSalvador/ 
El Salvador,ESALV,Instagram, www.Instagram.com/embargenelsalvador/ 
El Salvador,ESALV,Twitter,www.Twitter.com/ARGenElSalvador 
Serbia,ESERB,Facebook,www.Facebook.com/ArgentinaEnSerbia 
Serbia,ESERB,Instagram, www.Instagram.com/ARGinSerbia 
Sweden,ESUEC,Facebook, www.Facebook.com/arginsweden/ 
Sweden,ESUEC,Instagram, www.Instagram.com/arginsweden/ 
Sweden,ESUEC,Linkedin,www.Linkedin.com/showcase/arginsweden 
Thailand,ETAIL,Facebook,www.Facebook.com/ArgEnTailandiaBangkok/?tn-str=k*F 
Trinidad and Tobago,ETRIN,Facebook,www.Facebook.com/ArgentinaEnTrinidadYTobago
Tunisia,ETUNE,Facebook,www.Facebook.com/ArgEnTunez/ 
Tunisia,ETUNE,Instagram, www.Instagram.com/embargentinatn 
Tunisia,ETUNE,Twitter, www.Twitter.com/EmbajadaTunez 
Tunisia,ETUNE,Youtube, www.Youtube.com/channel/UC8kSZug1SPHrp3r1hGzhjtg 
Ukraine,EUCRA,Facebook,www.Facebook.com/ArgentinaEnUcrania 
Ukraine,EUCRA,Instagram, www.Instagram.com/argenucrania/ 
Uruguay,CCOLO,Facebook,www.Facebook.com/ArgentinaenColonia 
Uruguay,CMALD,Facebook,www.Facebook.com/pg/ConsuladoArgentinoenMaldonado/posts/?ref=page_internal 
Uruguay,CMALD,Instagram, www.Instagram.com/consulado_argentino/ 
Uruguay,CMDEO,Facebook,www.Facebook.com/ArgentinaEnMontevideo/ 
Uruguay,EURUG,Facebook, www.Facebook.com/ArgentinaEnUru/ 
Uruguay,EURUG,Instagram, www.Instagram.com/argentinaenuru/ 
Uruguay,EURUG,Twitter,www.Twitter.com/ArgentinaEnUru 
United States,CCHIC,Facebook, www.Facebook.com/ArgentinaEnChicago 
United States,CCHIC,Twitter,www.Twitter.com/argenchicago 
United States,CCHIC,Youtube, www.Youtube.com/channel/UCjZ3a6zTr156aP_zg-1lQfQ/featured 
United States,CHOUS,Facebook,www.Facebook.com/ArgentinaEnHouston/ 
United States,CLANG,Facebook,www.Facebook.com/ArgentinaEnLosAngeles/?ref=aymt_homepage_panel   
United States,CMIAM,Facebook,www.Facebook.com/consuladoargentino.miami/
United States,CNYOR,Facebook,www.Facebook.com/ARGenNewYork 
United States,CNYOR,Instagram, www.Instagram.com/argennewyork/ 
United States,CNYOR,Twitter, www.Twitter.com/ARGenNewYork 
