sede_id,sede_desc_castellano,pais_castellano,region_geografica,pais_iso_3,redes_sociales,Estado
ETAIL,Embajada  en  Tailandia,REINO  DE  TAILANDIA,ASIA,THA,www.facebook.com/ArgEnTailandiaBangkok/?tn-str=k*F  //  ,Activo
EANGO,Embajada  en  Angola,REPÚBLICA  DE  ANGOLA,ÁFRICA  SUBSAHARIANA,AGO,www.facebook.com/ArgentinaEnAngola/  //  www.instagram.com/embargentinaenangola/  //  ,Activo
EARAB,Embajada  en  Arabia  Saudita,REINO  DE  ARABIA  SAUDITA,ASIA,SAU,www.facebook.com/argentinaenarabiasaudita/  //  www.twitter.com/ensaudita  //  www.instagram.com/arginsaudi/  //  ,Activo
EAUST,Embajada  en  Australia,AUSTRALIA,OCEANÍA,AUS,www.facebook.com/ArgentinaEnAustralia/  //  www.twitter.com/ARGinAustralia  //  ,Activo
ETRIA,Embajada  en  Austria,REPÚBLICA  DE  AUSTRIA,EUROPA  OCCIDENTAL,AUT,www.facebook.com/ArgentinaEnAustria/  //  www.twitter.com/ARGenViena  //  www.instagram.com/argenviena/  //  ,Activo
EBARB,Embajada  en  Barbados,BARBADOS,AMÉRICA  CENTRAL  Y  CARIBE,BRB,www.facebook.com/ArgentinaEnBarbados/  //  ,Activo
EBELG,Embajada  en  Bélgica,Reino  de  Bélgica,EUROPA  OCCIDENTAL,BEL,www.facebook.com/ArgentinaEnBelgica/  //  www.instagram.com/argenbelgica/  //  ,Activo
CBELO,Consulado  en  Belo  Horizonte,REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR,BRA,www.facebook.com/ArgentinaEnBeloHorizonte/  //  www.twitter.com/consgralbelo  //  www.instagram.com/consgralbelo/  //  ,Activo
CRECI,Consulado  en  Recife,REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR,BRA,www.facebook.com/ArgentinaEnBrasilRecife  //  www.instagram.com/consuladoargentinorecife  //  ,Activo
EBULG,Embajada  en  Bulgaria,REPÚBLICA  DE  BULGARIA,EUROPA  CENTRAL  Y  ORIENTAL,BGR,www.facebook.com/ArgentinaEnBulgaria/  //  www.youtube.com/channel/UCK-uSxN84lEMqJwCviEjZow  //  ,Activo
CCOLO,Consulado  en  Colonia,REPÚBLICA  ORIENTAL  DEL  URUGUAY,AMÉRICA  DEL  SUR,URY,www.facebook.com/ArgentinaenColonia  //  ,Activo
ECORE,Embajada  en  Corea  Del  Sur,REPÚBLICA  DE  COREA,ASIA,KOR,www.facebook.com/ArgentinaEnCorea/  //  www.instagram.com/embajadaargentinaencorea1/?hl=es  //  ,Activo
ERICA,Embajada  en  Costa  Rica,REPÚBLICA  DE  COSTA  RICA,AMÉRICA  CENTRAL  Y  CARIBE,CRI,www.facebook.com/argentinaencostarica/  //  ,Activo
ECUBA,Embajada  en  Cuba,REPÚBLICA  DE  CUBA,AMÉRICA  CENTRAL  Y  CARIBE,CUB,www.facebook.com/ArgentinaEnCubaLaHabana/  //  ,Activo
