sede_id,sede_desc_castellano
EFRUS,Sección  Consular
EFRUS,"Sección  de  Cultura, Turismo  y  Cooperación  Deportiva"
EFRUS,Sección  de  Prensa  y  Difusión
EFRUS,Sección  Administrativa  y  Logística
EGREC,Sección  Administrativa
EGREC,Sección  Económica  y  Comercial
EGREC,Sección  Consular
EGREC,Sección  Cultural
EGUAT,Sección  Económica  y  Comercial
EGUAT,Agregada  Administrativa
EGUAT,Sección  Consular
EHAIT,Cooperación  Internacional
EHAIT,Sección  Consular
EHAIT,Sección  Cultural
EHAIT,Sección  de  Prensa
EHAIT,Sección  Económica  y  Comercial
EHAIT,Sección  Política
EHAIT,Administración
EHILE,Secretaría  Privada
EHILE,Agregaduría  Naval
EHILE,Agregaduría  de  Gendarmería  Nacional
EHILE,Agregaduria  Aeronáutica
EHILE,Agregaduría  de  Defensa  y  Aeronáutica
EHILE,Agregaduria  Militar
EHILE,Sección  Económica  y  Comercial
EHILE,Sección  Administrativa
EHILE,Sección  Jurídica
EHILE,Sección  Prensa
EHILE,Jefe  de  Cancillería
EHILE,Sección  Política
EHILE,Sección  Cultural
EHILE,Residencia  Oficial
EHOND,Sección  Comercial
EHOND,Sección  Consular
EHOND,Sección  Encargado  Cancillería
EHOND,Sección  administrativa
EINDI,Sección  Económica  y  Comercial
EINDI,Jefe  de  Cancilleria
EINDI,Sección  Agrícola
EINDI,Sección  Política
EIRAN,Sección  Consular
EIRLA,Sección  Cultural
EIRLA,Sección  Política
EIRLA,Sección  Consular
EIRLA,Sección  Económica  y    Comercial
EISIA,Sección  Política
EISIA,Agregado  Administrativo
EISIA,Sección  Consular
EISIA,Sección  Económica  y  Comercial
EISIA,Sección  Cultural
EISRA,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
EISRA,Sección  Económico-Comercial  y  de  Cooperación
EISRA,Sección  Política  y  Cultural
EITAL,Sección  de  Promoción  Comercial  y  Turismo
EITAL,"Sección  Cultural, Educación, Ciencia  y  Tecnología  "
EITAL,"Oficina  de  Derechos  Humanos, Géneros  y  Diversidad"
EITAL,"Sección  de  Diplomacia  Pública, Comunicación  y  Prensa"
EITAL,Jefe  de  Cancillería
EITAL,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
EITAL,Sección  Administrativa
EITAL,Sección  Política
EITAL,Sección  Económica  y  Promoción  de  Inversiones
EITAL,Sección  de  Cooperación  Internacional
EJAMA,Sección  Consular  
EJAMA,Sección  Cultural
EJAMA,Sección  Económica  y  Comercial
EJAPO,Política
EJAPO,Administrativa
EJAPO,Sección  Económica  -  Comercial  
EJAPO,Cooperación
EJAPO,Sección  Consular
EJAPO,Sección  Cultural  
EKENY,Consular  
EKENY,Cultural
EKENY,Política  y  Cooperación    
EKENY,Asuntos  Multilaterales  (PNUMA-ONU  Hábitat)
EKENY,Económica  -  Comercial
EKENY,Administración
EKUWA,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
EKUWA,Sección  Consular
EKUWA,Sección  Cultural
EKUWA,Sección  Económica  y  Comercial
EKUWA,Sección  Administrativa
ELBIA,Sección  Consular
ELBIA,Sección  Económica  Comercial
ELBNO,Sección  Cultural
ELBNO,Sección  Económica  -  Comercial  e  Inversiones
ELBNO,Sección  Política
ELBNO,Sección  Consular
ELBNO,Sección  Administrativa  Contable
EMARR,Sección  Administrativa
EMARR,Sección  Económica  y  Comercial
EMARR,Sección  Política
EMARR,Sección  Consular
EMARR,Sección  Cultural
EMEXI,"Secciones  Cooperación, Educación, Turismo  y  Belice"
EMEXI,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
EMEXI,Sección  Comercial
EMEXI,Negociaciones  Económicas  Bilaterales
EMEXI,Jefe  de  Misión
EMEXI,Sección  Cultural
EMEXI,Sección  de  Prensa
EMEXI,Sección  Política
EMEXI,Sección  Administrativa  y  Recursos  Humanos  
EMOZA,Sección  Política
EMOZA,Sección  de  Administración  y  Finanzas
EMOZA,Sección  Consular
EMOZA,Sección  Cultural
EMOZA,Sección  de  Prensa  y  Difusión
EMOZA,Jefe  de  Cancillería
EMOZA,Sección  de  Cooperación  Internacional  y  Ayuda  Humanitaria
EMOZA,Sección  Económica  y  Comercial  
EMSIA,Sección  Económica  y  Comercial
EMSIA,Sección  Política
EMSIA,Sección  Consular
ENICA,SECCION  CONSULAR
ENIGE,Sección  Administrativa
ENIGE,Asuntos  Culturales  y  Prensa
ENIGE,Sección  Política
ENIGE,Jefe  de  Cancillería
ENIGE,Sección  Económica  y  Comercial
ENIGE,Sección  Consular  Embajada  Argentina  en  Nigeria
ENORU,Sección  Económica  y  Comercial
ENORU,Sección  Consular
ENORU,Sección  Cultural
ENZEL,Sección  Consular
ENZEL,Sección  Económica  y  Comercial
ENZEL,Sección  Política
EPAKI,Sección  Consular
EPAKI,Sección  Económica
EPBAJ,Sección  Consular
EPBAJ,Sección  Política/Jurídica  
EPBAJ,Rep.  Permanente  OPAQ
EPBAJ,"Sección  Económica  y  Comercial, Prensa  y  Turismo."
EPERU,Sección  Política  
EPERU,Sección  Económica  y  Comercial  
EPERU,"Sección  Cultural, Educación  y  Prensa"
EPERU,Agregaduria  de  Defensa  y  Aeronáutica
EPERU,Sección  Administrativa
EPERU,Sección  de  Cooperación  Judicial  y  Asuntos  de  Género
EPERU,Jefe  de  Cancillería
EPNMA,Sección  Consular
EPNMA,Jefe  de  Cancillería
EPNMA,Sección  Económica  y  Comercial
EPNMA,Agregada  Administrativa
EPOLO,Sección  Cultural
EPOLO,Sección  Comercial
EPOLO,Sección  Consular  de  la  Embajada  de  la  República  Argentina  en  la  República  de  Polonia
EPORT,Agregado  Administrativo
EPORT,JEFE  DE  SECCIÓN  CULTURAL
EPORT,JEFE  DE  SECCIÓN  CONSULAR
EPORT,JEFE  DE  CANCILLERIA
EPORT,JEFE  DE  SECCIÓN  ECONÓMICA  Y  COMERCIAL
EQATR,Sección  Comercial
EQATR,Sección  Consular
EQATR,Jefe  de  Cancillería
EQATR,Sección  Política
EQATR,Seccion  Administrativa
ERICA,Sección  Económica  y  Comercial
ERICA,Sección  Consular
ERUMA,Sección  Consular
ERUMA,Sección  Económica  y  Comercial
ERUNI,Sección  Cultural
ERUNI,"Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea"
ERUNI,Administración
ERUNI,Económica  y  Comercial
ERUNI,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
ERUNI,Seccion  Politica
ERUNI,Administración
ERUNI,Protocolo
ERUNI,Sección  Política  y  Coordinación
ERUNI,Seccion  Prensa
ERUNI,Económica  y  Comercial
ERUNI,"Sección  Económica, Comercial  y  Turismo"
ESAFR,Sección  Económica  y  Comercial
ESAFR,"Sección  Cultural, Prensa  y  Diplomacia  Pública"
ESAFR,Sección  Administrativa
ESAFR,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
ESALV,Prensa
ESALV,Cultural
ESALV,Sección  Comercial  e  Inversiones
ESALV,Sección  Consular  
ESALV,Administrativa  -  Contable
ESERB,Sección  Administrativa
ESERB,Sección  Consular
ESERB,"Sección  Cultural, Educación  y  Turismo"
ESERB,Sección  Económica  y  Comercial
ESING,"Sección  Económica, Comercial  y  de  Inversiones"
ESING,Sección  Consular
ESING,Sección  Administrativa
ESING,Sección  Política  y  Cultural
ESSED,Embajadora
ESSED,"Sección  Administración, Economato, Contabilidad  e  Inventario"
ESSED,Sección  Cultura
ESSED,"Sección  Prensa, Redes  Sociales  y  Comunicación"
ESSED,Jefa  de  Sección  Secretaría  y  Despacho
ESSED,Jefa  de  Cancillería
ESUEC,"Sección  Económica, Comercial  y  de  Promoción  de  Inversiones"
ESUEC,Sección  Consular
